iter	RMSE
0	0.6895963901
1	0.67900921
2	0.6689700757
3	0.6576252857
4	0.6474880949
5	0.6375533398
6	0.6270774883
7	0.6173026776
8	0.607844834
9	0.5993664173
10	0.5912299477
11	0.5837186316
12	0.5758031056
13	0.5697888701
14	0.5634269968
15	0.5569429243
16	0.5505712429
17	0.5439154419
18	0.5379319055
19	0.5330782251
20	0.5285403898
21	0.5229930219
22	0.5184835561
23	0.5124723028
24	0.5077667106
25	0.5031137848
26	0.4983055096
27	0.4933470195
28	0.4892045777
29	0.4858655703
30	0.4817495661
31	0.4783333198
32	0.4757426203
33	0.4719910693
34	0.4683297908
35	0.4651703021
36	0.4622415838
37	0.4594829645
38	0.4563528828
39	0.4540191891
40	0.4516929693
41	0.44929077
42	0.4468935258
43	0.4449983811
44	0.4428135991
45	0.4405830853
46	0.4381365718
47	0.4363749192
48	0.4341575975
49	0.4320879744
50	0.4293351223
51	0.4277073451
52	0.4259481239
53	0.4234523686
54	0.4217006088
55	0.4200921839
56	0.4186186502
57	0.4173353064
58	0.4159783399
59	0.4150728584
60	0.4135261149
61	0.4118137379
62	0.411322983
63	0.4098133854
64	0.4083696649
65	0.4074968172
66	0.4065418556
67	0.4050750566
68	0.4038472277
69	0.4027902349
70	0.401719881
71	0.4008967076
72	0.399761108
73	0.3989175118
74	0.3979870028
75	0.3972615931
76	0.3967609081
77	0.3958611003
78	0.3951012349
79	0.3943182645
80	0.3937307064
81	0.3927261579
82	0.3918015323
83	0.3909569123
84	0.3898648705
85	0.3887779456
86	0.3882104445
87	0.3872760707
88	0.3861171146
89	0.3858431326
90	0.385518282
91	0.3852361898
92	0.3842285313
93	0.3837393179
94	0.3826980916
95	0.3819085244
96	0.3811059835
97	0.3805738946
98	0.3795961314
99	0.3788421305
100	0.3783414759
101	0.3779628327
102	0.3775416148
103	0.3770110095
104	0.3763846574
105	0.3757062039
106	0.3748600328
107	0.3742322999
108	0.3740203102
109	0.373443781
110	0.3728976331
111	0.3725346905
112	0.3722252659
113	0.3716089153
114	0.3713700705
115	0.3709970475
116	0.3703488256
117	0.3700971363
118	0.3692561593
119	0.3686821165
120	0.3681473321
121	0.3676255168
122	0.3669569703
123	0.3662594314
124	0.365491353
125	0.3650566503
126	0.3643780469
127	0.3638754093
128	0.3634890765
129	0.3626653025
130	0.3621406551
131	0.361223299
132	0.360717904
133	0.3602560662
134	0.3596497459
135	0.3589163204
136	0.3585352541
137	0.3581790549
138	0.3574906055
139	0.357064266
140	0.3565206067
141	0.3561084942
142	0.3558937006
143	0.3557064688
144	0.3554063731
145	0.3551129999
146	0.3547054849
147	0.3544020634
148	0.353999989
149	0.3532167325
150	0.3525482927
151	0.3519570332
152	0.3510108601
153	0.350617068
154	0.3500637747
155	0.3497449128
156	0.3490991556
157	0.3488404651
158	0.3486440249
159	0.348266291
160	0.347789293
161	0.3472145647
162	0.3467768427
163	0.3464114592
164	0.3459302984
165	0.3455173313
166	0.3453567782
167	0.3448261623
168	0.344652135
169	0.344022493
170	0.3436372985
171	0.3433192731
172	0.3427668862
173	0.3423224552
174	0.3417514474
175	0.3414005324
176	0.340925625
177	0.3403750138
178	0.3403071441
179	0.3399871852
180	0.3395712586
181	0.3392471627
182	0.3387606333
183	0.3382988015
184	0.3380940433
185	0.3375433659
186	0.3369802777
187	0.3364640424
188	0.3360112102
189	0.3357565609
190	0.3351910273
191	0.3344723374
192	0.3342905567
193	0.3339554377
194	0.333589714
195	0.3332135348
196	0.3329772911
197	0.3324162461
198	0.332049866
199	0.3318354271
200	0.3314748617
201	0.3311108898
202	0.3308347443
203	0.3302561538
204	0.329507677
205	0.328943257
206	0.3287868114
207	0.3286349637
208	0.3281820051
209	0.327788412
210	0.3275875285
211	0.3273500429
212	0.3268314574
213	0.3265642823
214	0.3260931424
215	0.3255660603
216	0.3252328903
217	0.3247872207
218	0.3241453533
219	0.323955388
220	0.3236750386
221	0.3233369971
222	0.3229459436
223	0.3226517645
224	0.3220975438
225	0.3218559204
226	0.3216097871
227	0.3210158699
228	0.3206398105
229	0.3202462238
230	0.3195608772
231	0.3194140359
232	0.3191738845
233	0.3188017085
234	0.3185775412
235	0.3180327699
236	0.3176338268
237	0.3174281507
238	0.3168991578
239	0.3161612922
240	0.3159354358
241	0.3155908703
242	0.3153446678
243	0.3149522443
244	0.3147833435
245	0.3144906917
246	0.3143075328
247	0.3141844714
248	0.3140804203
249	0.3136764191
250	0.3130259338
251	0.3125277085
252	0.3122167915
253	0.311986465
254	0.3115455021
255	0.3111134116
256	0.3108310689
257	0.3107958617
258	0.3100609353
259	0.3094915777
260	0.3092404025
261	0.308639565
262	0.3085844231
263	0.3081952887
264	0.3078994279
265	0.3074635296
266	0.3071336267
267	0.3067022585
268	0.306668422
269	0.306018133
270	0.3056969026
271	0.3052501082
272	0.3052115308
273	0.3051791445
274	0.3049668406
275	0.3044322028
276	0.3040608788
277	0.3036368207
278	0.3031639341
279	0.3025143348
280	0.3021592797
281	0.3019255391
282	0.3014255627
283	0.3010390589
284	0.3006555247
285	0.3006232263
286	0.2999446341
287	0.2996305865
288	0.2992751365
289	0.2990307095
290	0.2986896766
291	0.2984756278
292	0.2981744635
293	0.2977285618
294	0.297206606
295	0.2969797603
296	0.2962549457
297	0.2957351035
298	0.2953821
299	0.2950026012
300	0.2943233573
301	0.2942924923
302	0.2937780958
303	0.2932140052
304	0.2931853065
305	0.2928079607
306	0.2922585635
307	0.2919316148
308	0.2918594683
309	0.2914248092
310	0.2910584216
311	0.2910303546
312	0.290627959
313	0.2904999507
314	0.289954159
315	0.2895163216
316	0.2891927688
317	0.2887244578
318	0.2883316303
319	0.2883049019
320	0.2881724026
321	0.2880321703
322	0.2874156783
323	0.2868606615
324	0.2866666384
325	0.2862906879
326	0.2858408983
327	0.2853123483
328	0.2850443287
329	0.2847134945
330	0.2843134207
331	0.2841079379
332	0.2837972551
333	0.2833718756
334	0.2829470262
335	0.2827686648
336	0.2824892871
337	0.2821451887
338	0.2819471915
339	0.2817486468
340	0.2817155042
341	0.2816402779
342	0.2814896363
343	0.2810039891
344	0.2807594955
345	0.2805383288
346	0.2801208265
347	0.2797981575
348	0.2793605842
349	0.2790564372
350	0.2787221756
351	0.2784643174
352	0.2780746438
353	0.2775554343
354	0.2770402448
355	0.2767719134
356	0.2763740909
357	0.2760225931
358	0.2757788223
359	0.2757535484
360	0.2753684905
361	0.2750993863
362	0.2748347746
363	0.2748103956
364	0.2747113087
365	0.274495259
366	0.2742378594
367	0.2739239821
368	0.2738714885
369	0.2736265422
370	0.2734073336
371	0.2730481819
372	0.2724506702
373	0.2720352477
374	0.2717708762
375	0.2714578738
376	0.2711273809
377	0.2706364355
378	0.2702938797
379	0.2699516486
380	0.2697007403
381	0.2696129951
382	0.2693146078
383	0.2692744287
384	0.2689156936
385	0.2686220461
386	0.2682456473
387	0.2680439777
388	0.2677051413
389	0.2675492215
390	0.2673160629
391	0.2672505474
392	0.2668663343
393	0.2665580034
394	0.2662433186
395	0.2658278587
396	0.265396741
397	0.2651578236
398	0.2651005857
399	0.2650244232
400	0.2649886772
401	0.2646442398
402	0.2645036351
