00:00,03:00,06:00,09:00,12:00,15:00,18:00,21:00,Date
27 °c,25 °c,25 °c,30 °c,31 °c,28 °c,27 °c,26 °c,2022-03-01
9 °c,8 °c,8 °c,10 °c,13 °c,17 °c,15 °c,10 °c,2022-03-02
8 °c,8 °c,8 °c,12 °c,16 °c,18 °c,15 °c,13 °c,2022-03-03
13 °c,12 °c,12 °c,13 °c,15 °c,16 °c,15 °c,11 °c,2022-03-04
11 °c,11 °c,10 °c,13 °c,16 °c,17 °c,12 °c,7 °c,2022-03-05
7 °c,7 °c,6 °c,9 °c,9 °c,9 °c,7 °c,6 °c,2022-03-06
6 °c,6 °c,6 °c,6 °c,8 °c,10 °c,10 °c,6 °c,2022-03-07
5 °c,3 °c,4 °c,11 °c,16 °c,21 °c,16 °c,10 °c,2022-03-08
7 °c,6 °c,5 °c,13 °c,18 °c,20 °c,17 °c,12 °c,2022-03-09
10 °c,9 °c,8 °c,15 °c,19 °c,23 °c,20 °c,14 °c,2022-03-10
13 °c,13 °c,12 °c,18 °c,23 °c,25 °c,20 °c,17 °c,2022-03-11
15 °c,14 °c,14 °c,19 °c,24 °c,28 °c,22 °c,19 °c,2022-03-12
17 °c,18 °c,17 °c,19 °c,23 °c,26 °c,23 °c,20 °c,2022-03-13
17 °c,17 °c,16 °c,22 °c,26 °c,27 °c,23 °c,16 °c,2022-03-14
16 °c,13 °c,13 °c,14 °c,20 °c,25 °c,21 °c,18 °c,2022-03-15
17 °c,15 °c,14 °c,22 °c,25 °c,28 °c,24 °c,20 °c,2022-03-16
19 °c,19 °c,18 °c,19 °c,20 °c,21 °c,15 °c,13 °c,2022-03-17
11 °c,10 °c,9 °c,9 °c,11 °c,14 °c,12 °c,10 °c,2022-03-18
11 °c,10 °c,9 °c,14 °c,14 °c,15 °c,13 °c,9 °c,2022-03-19
9 °c,8 °c,8 °c,9 °c,10 °c,10 °c,10 °c,10 °c,2022-03-20
10 °c,10 °c,10 °c,11 °c,10 °c,10 °c,9 °c,8 °c,2022-03-21
9 °c,9 °c,9 °c,8 °c,8 °c,8 °c,8 °c,7 °c,2022-03-22
7 °c,7 °c,7 °c,7 °c,11 °c,12 °c,11 °c,9 °c,2022-03-23
7 °c,7 °c,5 °c,12 °c,18 °c,21 °c,18 °c,14 °c,2022-03-24
14 °c,14 °c,15 °c,16 °c,19 °c,20 °c,19 °c,18 °c,2022-03-25
